t,CA,CO,CP,KLA,RA,
0.01,0.199927,2.71684e-005,3.667e-005,27.5568,-0.0108634,
0.02,0.199811,2.99731e-005,9.47496e-005,27.5568,-0.0119779,
0.03,0.19969,3.02759e-005,0.000155024,27.5568,-0.0120916,
0.04,0.199569,3.03216e-005,0.000215519,27.5568,-0.0121025,
0.05,0.199448,3.03408e-005,0.000276033,27.5568,-0.0121028,
0.06,0.199327,3.03572e-005,0.000336545,27.5568,-0.012102,
0.07,0.199206,3.03735e-005,0.000397053,27.5568,-0.0121011,
0.08,0.199085,3.03897e-005,0.000457557,27.5568,-0.0121003,
0.09,0.198964,3.04059e-005,0.000518056,27.5568,-0.0120994,
0.1,0.198843,3.04222e-005,0.00057855,27.5568,-0.0120985,
