t,CO,
0.001,6.16157e-006,
0.002,1.10691e-005,
0.003,1.4978e-005,
0.004,1.80914e-005,
0.005,2.05713e-005,
0.006,2.25467e-005,
0.007,2.41203e-005,
0.008,2.53739e-005,
0.009,2.63726e-005,
0.01,2.71684e-005,
0.011,2.78025e-005,
0.012,2.83079e-005,
0.013,2.87108e-005,
0.014,2.9032e-005,
0.015,2.92881e-005,
0.016,2.94925e-005,
0.017,2.96556e-005,
0.018,2.97858e-005,
0.019,2.98899e-005,
0.02,2.99731e-005,
0.021,3.00397e-005,
0.022,3.00931e-005,
0.023,3.0136e-005,
0.024,3.01704e-005,
0.025,3.01982e-005,
0.026,3.02207e-005,
0.027,3.02389e-005,
0.028,3.02537e-005,
0.029,3.02659e-005,
0.03,3.02759e-005,
0.031,3.02842e-005,
0.032,3.02911e-005,
0.033,3.0297e-005,
0.034,3.0302e-005,
0.035,3.03063e-005,
0.036,3.03101e-005,
0.037,3.03134e-005,
0.038,3.03164e-005,
0.039,3.03191e-005,
0.04,3.03216e-005,
0.041,3.03239e-005,
0.042,3.0326e-005,
0.043,3.03281e-005,
0.044,3.033e-005,
0.045,3.03319e-005,
0.046,3.03338e-005,
0.047,3.03356e-005,
0.048,3.03373e-005,
0.049,3.0339e-005,
0.05,3.03408e-005,
0.051,3.03424e-005,
0.052,3.03441e-005,
0.053,3.03458e-005,
0.054,3.03474e-005,
0.055,3.03491e-005,
0.056,3.03507e-005,
0.057,3.03524e-005,
0.058,3.0354e-005,
0.059,3.03556e-005,
0.06,3.03572e-005,
0.061,3.03589e-005,
0.062,3.03605e-005,
0.063,3.03621e-005,
0.064,3.03637e-005,
0.065,3.03654e-005,
0.066,3.0367e-005,
0.067,3.03686e-005,
0.068,3.03702e-005,
0.069,3.03718e-005,
0.07,3.03735e-005,
0.071,3.03751e-005,
0.072,3.03767e-005,
0.073,3.03783e-005,
0.074,3.038e-005,
0.075,3.03816e-005,
0.076,3.03832e-005,
0.077,3.03848e-005,
0.078,3.03864e-005,
0.079,3.03881e-005,
0.08,3.03897e-005,
0.081,3.03913e-005,
0.082,3.03929e-005,
0.083,3.03946e-005,
0.084,3.03962e-005,
0.085,3.03978e-005,
0.086,3.03994e-005,
0.087,3.0401e-005,
0.088,3.04027e-005,
0.089,3.04043e-005,
0.09,3.04059e-005,
0.091,3.04075e-005,
0.092,3.04092e-005,
0.093,3.04108e-005,
0.094,3.04124e-005,
0.095,3.0414e-005,
0.096,3.04157e-005,
0.097,3.04173e-005,
0.098,3.04189e-005,
0.099,3.04205e-005,
0.1,3.04222e-005,
